date,home_team,score,away_team
29-12-2024,,Crystal Palace,2 - 1
04-01-2025,,Crystal Palace,1 - 1
26-01-2025,,Crystal Palace,1 - 2
15-02-2025,,Crystal Palace,1 - 2
18-08-2024,,Brentford,2 - 1
01-09-2024,,Chelsea,1 - 1
28-09-2024,,Everton,2 - 1
21-10-2024,,Nott'm Forest,1 - 0
02-11-2024,,Wolves,2 - 2
23-11-2024,,Aston Villa,2 - 2
03-12-2024,,Ipswich,0 - 1
15-12-2024,,Brighton,1 - 3
26-12-2024,,Bournemouth,0 - 0
15-01-2025,,Leicester,0 - 2
18-01-2025,,West Ham,0 - 2
02-02-2025,,Man United,0 - 2
17-08-2024,,Everton,0 - 3
31-08-2024,,Everton,2 - 3
28-09-2024,,Everton,2 - 1
05-10-2024,,Everton,0 - 0
26-10-2024,,Everton,1 - 1
23-11-2024,,Everton,0 - 0
04-12-2024,,Everton,4 - 0
22-12-2024,,Everton,0 - 0
29-12-2024,,Everton,0 - 2
15-01-2025,,Everton,0 - 1
19-01-2025,,Everton,3 - 2
01-02-2025,,Everton,4 - 0
12-02-2025,,Everton,2 - 2
24-08-2024,,Tottenham,4 - 0
14-09-2024,,Aston Villa,3 - 2
21-09-2024,,Leicester,1 - 1
19-10-2024,,Ipswich,0 - 2
02-11-2024,,Southampton,1 - 0
09-11-2024,,West Ham,0 - 0
01-12-2024,,Man United,4 - 0
14-12-2024,,Arsenal,0 - 0
26-12-2024,,Man City,1 - 1
04-01-2025,,Bournemouth,1 - 0
25-01-2025,,Brighton,0 - 1
15-02-2025,,Crystal Palace,1 - 2
24-08-2024,,Fulham,2 - 1
14-09-2024,,Fulham,1 - 1
21-09-2024,,Fulham,3 - 1
19-10-2024,,Fulham,1 - 3
04-11-2024,,Fulham,2 - 1
23-11-2024,,Fulham,1 - 4
05-12-2024,,Fulham,3 - 1
08-12-2024,,Fulham,1 - 1
22-12-2024,,Fulham,0 - 0
29-12-2024,,Fulham,2 - 2
05-01-2025,,Fulham,2 - 2
26-01-2025,,Fulham,0 - 1
15-02-2025,,Fulham,2 - 1
16-08-2024,,Man United,1 - 0
31-08-2024,,Ipswich,1 - 1
28-09-2024,,Nott'm Forest,0 - 1
05-10-2024,,Man City,3 - 2
26-10-2024,,Everton,1 - 1
09-11-2024,,Crystal Palace,0 - 2
01-12-2024,,Tottenham,1 - 1
14-12-2024,,Liverpool,2 - 2
26-12-2024,,Chelsea,1 - 2
14-01-2025,,West Ham,3 - 2
18-01-2025,,Leicester,0 - 2
01-02-2025,,Newcastle,1 - 2
17-08-2024,,Ipswich,0 - 2
31-08-2024,,Ipswich,1 - 1
29-09-2024,,Ipswich,2 - 2
19-10-2024,,Ipswich,0 - 2
02-11-2024,,Ipswich,1 - 1
24-11-2024,,Ipswich,1 - 1
03-12-2024,,Ipswich,0 - 1
08-12-2024,,Ipswich,1 - 2
21-12-2024,,Ipswich,0 - 4
30-12-2024,,Ipswich,2 - 0
16-01-2025,,Ipswich,0 - 2
19-01-2025,,Ipswich,0 - 6
01-02-2025,,Ipswich,1 - 2
24-08-2024,,Man City,4 - 1
14-09-2024,,Brighton,0 - 0
21-09-2024,,Southampton,1 - 1
05-10-2024,,West Ham,4 - 1
26-10-2024,,Brentford,4 - 3
10-11-2024,,Tottenham,1 - 2
30-11-2024,,Nott'm Forest,1 - 0
14-12-2024,,Wolves,1 - 2
27-12-2024,,Arsenal,1 - 0
05-01-2025,,Fulham,2 - 2
25-01-2025,,Liverpool,4 - 1
15-02-2025,,Aston Villa,1 - 1
19-08-2024,,Leicester,1 - 1
31-08-2024,,Leicester,1 - 2
21-09-2024,,Leicester,1 - 1
05-10-2024,,Leicester,1 - 0
25-10-2024,,Leicester,1 - 3
23-11-2024,,Leicester,1 - 2
03-12-2024,,Leicester,3 - 1
08-12-2024,,Leicester,2 - 2
22-12-2024,,Leicester,0 - 3
29-12-2024,,Leicester,0 - 2
15-01-2025,,Leicester,0 - 2
18-01-2025,,Leicester,0 - 2
15-02-2025,,Leicester,0 - 2
24-08-2024,,Fulham,2 - 1
14-09-2024,,Crystal Palace,2 - 2
28-09-2024,,Arsenal,4 - 2
19-10-2024,,Southampton,2 - 3
02-11-2024,,Ipswich,1 - 1
10-11-2024,,Man United,3 - 0
30-11-2024,,Brentford,4 - 1
14-12-2024,,Newcastle,4 - 0
26-12-2024,,Liverpool,3 - 1
04-01-2025,,Aston Villa,2 - 1
26-01-2025,,Tottenham,1 - 2
01-02-2025,,Everton,4 - 0
25-08-2024,,Liverpool,2 - 0
14-09-2024,,Liverpool,0 - 1
21-09-2024,,Liverpool,3 - 0
20-10-2024,,Liverpool,2 - 1
02-11-2024,,Liverpool,2 - 1
09-11-2024,,Liverpool,2 - 0
01-12-2024,,Liverpool,2 - 0
